	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
10	prerank	Interneurons	-0.5624556260074594	-2.5684114086067376	0.0	0.0	0.0	103/258	12.83%	Slc17a7;Vsx2;Pcp4l1;Rit2;Lhx3;Adcy8;Syp;Hpcal4;Sncb;Actl6b;Igsf21;Grm5;Cdhr1;Dhrs3;Cdk5r2;Zdhhc22;Nxph4;Slc12a5;Cxcl14;Cadm2;Gria2;Isl1;Brinp1;Pacsin1;Lynx1;Hpca;Mmd2;Disp2;Cck;Ppfia2;Kcnj9;Cacna1i;Dnm3;Kcnma1;Syt4;Trim9;Syt1;Scrt1;Ptpro;Hlf;Pcsk2;Ntng1;Tmem132d;Tagln3;Cplx1;Reln;Gabrg2;Rorb;Tmem59l;Sh3gl2;Snap91;Celf3;Pde4a;Plppr5;Lypd1;Atp2b3;Gal;Pcbp3;Lrrtm1;Syt13;Ly6h;Rgs8;Syn1;Slitrk1;Nrsn2;Kcnip2;Tceal6;Gdap1l1;Kcnc1;Unc13a;Vstm2b;Rab3c;Snap25;Sema3e;Ndrg4;Sv2b;Tceal3;Adgrb3;Camk4;Gad1;Synpr;Vstm2a;Stmn4;Phyhipl;Gabbr2;Lingo1;Ncald;Crhr1;Dnajc6;Hspa12a;Magee1;Hap1;Rgs7bp;Cntn2;Nat14;Cacng2;Adcy1;Calb2;Vgf;Ramp3;Adgra1;Tmem179;Pianp
11	prerank	Glutaminergic Neurons	-0.6464644756199024	-2.545796688432948	0.0	0.0	0.0	54/91	20.11%	Slc17a7;Sphkap;Rit2;Diras2;Actl6b;Grm5;Tmem130;Gria2;Hpca;Mmd2;Ppfia2;Kcnj9;Atcay;Scrt1;Gabra1;Gabrg2;Snap91;Gria1;Celf3;Atp2b3;Grin1;Dlg2;Rgs8;Asic2;Slitrk1;Tceal6;Kcnc1;Unc13a;Snap25;Unc79;Ndrg4;Kctd16;Cadps;Synpr;Vstm2a;Stmn4;Grin2b;Phyhipl;Cntn2;Slc1a2;Srrm4;Adgra1;Bsn;Slc1a1;Magi2;Psd2;Ctnna2;Ptpn5;Scn3b;Pak5;Cdh22;Slc8a2;Nrxn1;Ttbk1
12	prerank	Pyramidal Cells	-0.6177799288226181	-2.5422637933898464	0.0	0.0	0.0	50/110	11.40%	Pcp4;Sphkap;Rit2;Adcy8;Sncb;Actl6b;Igsf21;Grm5;Faim2;Cadm2;Gria2;Brinp1;Hpca;Mmd2;Cck;Kcnj9;Syt4;Scrt1;Gabra1;Tagln3;Gabrg2;Kcnd2;Snap91;Gria1;Celf3;Atp2b3;Lrrtm1;Caly;Ly6h;Syn1;Asic2;Slitrk1;Kcnb1;Tceal6;Slc32a1;Kcnc1;Vstm2b;Rab3c;Ngb;Snap25;Adgrb3;Kcnb2;Synpr;Vstm2a;Stmn4;Dlg4;Grin2b;Sorcs3;Cntn2;Srrm4
13	prerank	Osteocytes	0.6314671681545193	2.540617324610724	0.0	0.0	0.0	57/91	22.15%	Sfrp1;Gja1;Gli3;Ednra;Tmem47;Nes;Fzd7;Ptpn14;Gfpt2;Has2;Mdk;Notch3;Gli2;Ptn;Fst;Adamts12;Flnc;Vegfc;Yap1;Adamts7;Ccdc8;Efnb2;Rai14;Ror1;Tcf7l1;Pls3;Fstl1;Pcdh18;Col1a1;Mdfi;Cald1;Efna5;Pxdn;P3h2;Axl;Chst3;Gpx8;Fbxl7;Csrp2;Rab13;Il17rd;Pdlim4;Fblim1;Stc1;Enah;Ppic;Gng12;Cdh11;Wwtr1;Pdpn;Gpr161;Cdr2l;Cttnbp2nl;Tpm1;Tenm3;Col4a6;Syde1
14	prerank	Dopaminergic Neurons	-0.6232317982149586	-2.529266585132857	0.0	0.0	0.0	49/106	14.19%	Chrna6;Syp;Sncb;Actl6b;Cdk5r2;Zdhhc22;Gria2;Mapt;Hpca;Syt4;Aplp1;Chga;Scrt1;Gabrg2;Tmem59l;Snap91;Celf3;Lrrtm1;Caly;Syt13;Ly6h;Abcc8;Slitrk1;Gdap1l1;Kcnc1;Unc13a;Snap25;Kcnb2;Myt1;Vstm2a;Stmn4;Phyhipl;Grik3;Lingo1;Crhr1;Chd5;Cntn2;Adcy1;Adgra1;Rims4;Tmem179;Caskin1;Mapk8ip2;Kcnj6;Lonrf2;Chrna4;Bsn;Brsk2;Hcn4
15	prerank	Enteroendocrine Cells	-0.6150466561378092	-2.5094678877993255	0.0	0.0	0.0	48/104	10.18%	Scgn;Syp;Dusp26;Actl6b;Glp2r;Cdk5r2;Cnga3;Gria2;Isl1;Hpca;Chgb;Cck;Cryba2;Syt4;Chga;Sct;Scrt1;Scg2;Pcsk2;Neurod1;Tagln3;Tmem59l;Sh3gl2;Snap91;Celf3;Scg3;Gal;Lrrtm1;Caly;Syt13;Ly6h;Abcc8;Unc5d;Asic2;Gdap1l1;Kcnc1;Unc13a;Rab3c;Ptprt;Snap25;Unc79;Gfra3;Scg5;Cadps;Kcnb2;Vstm2a;Phyhipl;Tas1r3
16	prerank	Beta Cells	-0.5984915233929825	-2.504665972863655	0.0	0.0	0.0	51/117	13.30%	Scgn;Pcp4;Gjd2;Cntn4;Syp;Dusp26;Actl6b;Igsf21;Cadm2;Gria2;Isl1;Wscd2;Camk2b;Chgb;Syt4;Ube2ql1;Chga;Pcsk2;Neurod1;Svop;Sh3gl2;Snap91;Map6;Celf3;Cntn1;Scg3;Hamp;Lrrtm1;Syt13;Ly6h;Amer3;Abcc8;Unc5d;Rapgef4;Kcnc1;Dpp6;Rab3c;Ptprt;Snap25;Unc79;Rgs16;Adgrb3;Cadps;Kcnb2;Vstm2a;Phyhipl;Prox1;Adgra1;Tmem179;Nptx2;Nfasc
17	prerank	Olfactory Epithelial Cells	-0.5451940366190748	-2.403990824688779	0.0	0.0	0.0	101/193	22.76%	Cntn4;Rd3;Ano2;Fstl5;Cspg5;Gng13;Cdk5r2;Ckb;Nxnl2;Hpca;Ccdc113;Golga7b;Sybu;Aplp1;Abhd3;Kcna5;Meig1;Sez6l2;Impdh1;Dner;Srrm3;Tmem59l;Dusp8;Map6;Stxbp1;Pcdhac2;Pde4a;Mapre3;Atp9a;Lrrc73;Nrsn2;Vstm2l;Clstn2;Cadm4;Nme5;Mpp2;Ndrg4;Riiad1;Cibar2;Larp6;Dnai1;Scamp5;Cbx4;Ccdc28b;Jakmip1;Stom;Sptbn4;Cdkl2;Lingo1;Adgrb2;Pacrg;Kif9;Hspa12a;Pkib;Macrod1;Nat14;Calb2;Clstn1;Tsnaxip1;Acsl6;Tmem9;Ormdl3;Wdr54;Caskin1;Abhd16a;Mapk8ip2;Sptbn2;Ccdc184;Cartpt;Spock1;Ttc21a;Ift22;B4gat1;Fam229b;Elmod3;Dusp14;C2cd4c;Them6;Mapk8ip1;Kcnc4;H2bc21;Vps37d;Fgf12;Lrrc10b;Slc4a3;Epb41l4b;Kifbp;Sh3glb2;Flrt1;Spef1;Endod1;Meis3;Tmem107;Ttll3;Ric8b;Ppp1r14c;Cpe;Siah2;Ngrn;Epb41l1;Cacnb3
18	prerank	Enteric Neurons	-0.5634894145607509	-2.3954440761913407	0.0	0.0	0.0	58/147	13.59%	Dusp26;Actl6b;Fstl5;Faim2;Cdk5r2;Cadm2;Gria2;Brinp1;Cck;Ppfia2;Ntrk2;Tmem35a;Golga7b;Syt4;Scrt1;Nacad;Scg2;Plppr4;Slc10a4;Tagln3;Tmem59l;Snap91;Map6;Celf3;Stxbp1;Cntn1;Atp2b3;Hivep3;Gal;Lrrtm1;Casz1;Cadm3;Ly6h;Tlx2;Asic2;Vstm2l;Celf6;Gdap1l1;Kcnc1;Snap25;Ndrg4;Kctd16;Adgrb3;Slc7a14;Chrna3;Vstm2a;Stmn4;Snx21;Phyhipl;Rgs7bp;Cntn2;Tub;Ppp2r5b;Adgra1;Tmem179;Akap6;Nfasc;Shc3
19	prerank	Embryonic Stem Cells	0.5564750583364912	2.3928684502568243	0.0	0.0	0.0	100/147	29.16%	Hmga2;Sfrp1;Sall4;Gja1;Zscan10;Sox2;Trim6;Lef1;Nes;Ajuba;Fzd7;Tead2;Ptpn14;Dsp;Ephb4;Gli2;Rbpms;Prtg;Lrig3;Rbfox2;Erbb2;Itga6;Tead1;Yap1;Fnbp1l;Fbln1;Tead4;Rai14;Ror1;Hes1;Dnmt3b;Pls3;Fat1;Fstl1;Mdfi;Pawr;Kit;Myo1b;Uaca;Nr6a1;Yes1;Itgb1;Fzd1;Lamb1;Gjc1;Dsg2;Myc;Gpx8;Fkbp10;Tjp1;Arhgap42;Cd9;Sh3d19;Lrp6;Fzd5;Dcbld2;Kcnip3;Il17rd;Fblim1;Nav2;Fras1;Enah;Zfx;Gng12;Gulp1;Prdm5;Smarca1;Sh3bp4;Nckap1;Pum2;Fut4;Ptprg;Ptprf;Col4a5;Pard3;Shroom3;Tspan6;Tenm3;Col4a6;Rnd3;Dock1;Smad5;Ptk7;Adgra3;Adgrl2;Antxr1;Fermt2;Sumo2;Ctnna1;Wwc2;Ptk2;Amotl2;Lamc1;Myo10;Pml;Cdk8;Serpinh1;Smad1;Smad4;Ctnnd1
