	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
157	prerank	Pulmonary Alveolar Type I Cells	0.3303939450343463	1.4942938803273373	0.0	0.004004553749692508	0.032	28/125	8.39%	CLDN1;SCNN1A;AQP3;ICAM1;KRT7;ITGB6;SCNN1B;TSPAN1;COL4A3;GPRC5A;PKP3;AQP5;KRT19;PPIC;PERP;CLDN4;A4GALT;IL20RA;RHOD;OSMR;F3;CRLF1;SDC1;ITGB4;MAL2;FSTL3;COL4A4;TMEM54
158	prerank	Noradrenergic Neurons	0.34633806634214453	1.4386313089216338	0.0	0.007107241612899644	0.058	12/81	1.86%	FGL1;HABP2;AFM;ALB;PHYHIPL;RBP4;AMBP;APOH;NR0B2;FGA;TTR;GOLT1A
159	prerank	Proximal Tubule Cells	0.3243648077745684	1.4298370101678377	0.0	0.007443566439224359	0.062	29/130	8.38%	HABP2;OSGIN1;HGD;AFM;GSTA1;ALB;RBP4;APOE;AMBP;APOH;CLTRN;NR0B2;FGA;TTR;FUT9;SLC22A1;PON1;UGT2B4;TFF3;GSTZ1;SERPINA4;PPIC;FBP1;AK4;SLC28A1;HNF4A;GSTA2;ALPL;NAPSA
160	prerank	Intercalated Cells	0.32711399945890407	1.381926262694726	0.015873015873015872	0.012480859186541647	0.097	22/105	7.89%	PIGR;SLC4A8;AVPR1A;WFDC2;ADGRF1;VTCN1;EGF;SCNN1B;TMPRSS4;ANKRD66;ZBTB7C;CX3CL1;SLC9A4;AQP5;CCDC60;AQP2;VWA3B;CLDN16;FOXI1;CFAP221;ELF5;BPIFB1
161	prerank	Epsilon Cells	-0.4219271200746371	-1.3434511513713483	0.03078556263269639	0.04165550190782261	0.971	53/125	18.40%	C7;ADH1B;SPTSSB;IGF2;HRH2;ITGA4;ABCA8;ENPEP;ADH1A;A2M;THSD4;EYA4;PCSK6;ELOVL2;FABP1;FRZB;AFF3;APOA1;TM6SF2;AGTR1;MAOB;CHRD;CD109;OIT3;OLFML3;FZD4;SLC39A5;F7;VTN;CORIN;APOA4;F10;PTGER4;FAXDC2;NKX2-2;PLPP3;FAM124A;NR1H4;PCK1;GHRL;MTTP;COL12A1;OPRK1;SMLR1;XYLB;A1CF;ALDOB;VSTM2L;GRAMD2A;BMP4;RGN;GJB1;ABCG8
162	prerank	Follicular Cells	0.302687958651943	1.3023839644651642	0.023529411764705882	0.031022149202251142	0.22	19/95	7.61%	HGD;AFM;GSTA1;ITIH2;TMEM45B;ALB;HSD17B2;NCMAP;CYP3A7;TAT;SERPINA4;SLC15A1;AQP7;PON3;FAM3B;SLC28A1;HNF4A;GSTA2;FMO5
163	prerank	Ependymal Cells	0.2985156553830788	1.2858867996374033	0.03773584905660377	0.0362668044474032	0.257	31/114	12.58%	CYP2A13;KRT15;DRC1;FAM81B;CXCL17;DNAH12;ANKRD66;CFAP99;ARMC3;SPAG6;MEIG1;CCDC60;MORN5;RSPH1;VWA3B;CRYGN;ADH7;GFAP;SPATS1;CFAP221;BPIFB1;DRC7;SPEF1;AK7;DYNLRB2;FOXJ1;DNAAF1;TM4SF1;PPP1R42;MYB;NME5
164	prerank	Parathyroid Chief Cells	-0.40696061595829586	-1.2518557573516778	0.11943539630836048	0.10656745574270332	1.0	22/93	13.45%	NPR1;LINGO1;CRMP1;HEYL;CYS1;NTRK2;PPY;KL;NPAS4;CAMK1G;PDZRN3;SYN1;FGFR1;KCNIP1;ABCC8;NPNT;SLC6A18;STARD13;SPTBN4;ARHGEF17;SH3GL2;LRP2
165	prerank	Myoepithelial Cells	-0.3776900674554145	-1.1897916931282386	0.1643835616438356	0.17785848849503602	1.0	29/109	14.47%	NGFR;ARSI;MYLK;ACTA2;POSTN;JPH2;COL4A1;CNN1;SNAI2;CAV1;ANO1;ACTG2;COL4A2;LTBP2;COL16A1;EHD2;CD109;RND3;EMP1;HSPG2;MYL9;KRT14;TNC;COL1A1;AHNAK2;MDFI;SRPX2;EGFR;COL12A1
166	prerank	Parietal Cells	-0.35548984843405995	-1.1243571916358175	0.26423200859291085	0.2790753241874857	1.0	28/105	18.40%	SPARCL1;PPP1R1B;ADCY5;HDC;PODXL;PTPRT;MAOB;PTCH1;SYT13;MYRIP;RAI2;DSCAML1;RAPGEF5;EBF4;ZNF704;TPPP;ZDHHC11B;SLC6A1;SHH;PLEKHH1;BMI1;NDRG2;NEO1;SHC2;PCDH1;HAMP;GJB1;AQP4
